,dap,class,
0,77423,1,","
1,76402,1,","
2,76368,1,","
3,77364,1,","
4,79999,1,","
5,85843,1,","
6,93093,1,","
7,98177,1,","
8,98763,1,","
9,97250,1,","
10,98136,1,","
11,96198,1,","
12,94213,1,","
13,92020,1,","
14,90251,1,","
15,88991,1,","
16,89226,1,","
17,90802,1,","
18,95793,1,","
19,98180,1,","
20,97179,1,","
21,93089,1,","
22,88200,1,","
23,83952,1,","
24,82187,1,","
25,80043,1,","
26,79742,1,","
27,80167,1,","
28,80814,1,","
29,84673,1,","
30,91326,1,","
31,96918,1,","
32,98794,1,","
33,98826,1,","
34,98303,1,","
35,97314,1,","
36,95101,1,","
37,94985,1,","
38,93526,1,","
39,92241,1,","
40,91569,1,","
41,93199,1,","
42,92740,1,","
43,95051,1,","
44,94257,1,","
45,91286,1,","
46,87360,1,","
47,82390,1,","
48,78285,1,","
49,76446,1,","
50,75907,1,","
51,75885,1,","
52,77660,1,","
53,81877,1,","
54,88500,1,","
55,93271,1,","
56,95315,1,","
57,95243,1,","
58,94097,1,","
59,92721,1,","
60,90992,1,","
61,89203,1,","
62,87931,1,","
63,86621,1,","
64,86686,1,","
65,87807,1,","
66,89605,1,","
67,89641,1,","
68,89516,1,","
69,87094,1,","
70,82445,1,","
71,78109,1,","
72,74722,1,","
73,72617,1,","
74,71858,1,","
75,71745,1,","
76,73112,1,","
77,77176,1,","
78,83061,1,","
79,89038,1,","
80,91612,1,","
81,92195,1,","
82,93533,1,","
83,93911,1,","
84,93525,1,","
85,92633,1,","
86,91359,1,","
87,90229,1,","
88,89835,1,","
89,90814,1,","
90,90744,1,","
91,92196,1,","
92,91246,1,","
93,89004,1,","
94,84125,1,","
95,79944,1,","
96,75654,1,","
97,75721,1,","
98,75512,1,","
99,75925,1,","
100,77809,1,","
101,82391,1,","
102,89567,1,","
103,96060,1,","
104,98175,1,","
105,97672,1,","
106,95748,1,","
107,94301,1,","
108,91456,1,","
109,89521,1,","
110,87117,1,","
111,84814,1,","
112,83365,1,","
113,83628,1,","
114,87333,1,","
115,88619,1,","
116,91531,1,","
117,89592,1,","
118,88195,1,","
119,84968,1,","
120,82334,1,","
121,80913,1,","
122,80507,1,","
123,80816,1,","
124,81664,1,","
125,84352,1,","
126,87791,1,","
127,91082,1,","
128,92159,1,","
129,87967,1,","
130,85513,1,","
131,82294,1,","
132,78946,1,","
133,76127,1,","
134,73985,1,","
135,72428,1,","
136,72588,1,","
137,73616,1,","
138,75412,1,","
139,78681,1,","
140,82671,1,","
141,81269,1,","
142,79463,1,","
143,77261,1,","
144,75383,1,","
145,74376,1,","
146,74359,1,","
147,74601,1,","
148,76081,1,","
149,77764,1,","
150,80811,1,","
151,82356,1,","
152,84056,1,","
153,81248,1,","
154,77788,1,","
155,75245,1,","
156,73692,1,","
157,71322,0,","
158,69331,0,","
159,68914,0,","
160,69762,0,","
161,71831,1,","
162,73950,1,","
163,76916,1,","
164,80503,1,","
165,78618,1,","
166,75840,1,","
167,72852,1,","
168,70537,0,","
169,70133,0,","
170,70280,0,","
171,71185,0,","
172,73809,1,","
173,79356,1,","
174,87488,1,","
175,93133,1,","
176,92465,1,","
177,89397,1,","
178,86088,1,","
179,83388,1,","
180,81609,1,","
181,80179,1,","
182,78913,1,","
183,77733,1,","
184,78130,1,","
185,79147,1,","
186,80153,1,","
187,82488,1,","
188,84355,1,","
189,82103,1,","
190,77551,1,","
191,73537,1,","
192,70547,0,","
193,69341,0,","
194,68795,0,","
195,69247,0,","
196,71113,0,","
197,75566,1,","
198,82784,1,","
199,87784,1,","
200,88413,1,","
201,87252,1,","
202,85009,1,","
203,83155,1,","
204,81745,1,","
205,80777,1,","
206,79939,1,","
207,79394,1,","
208,79652,1,","
209,80880,1,","
210,81545,1,","
211,83466,1,","
212,84527,1,","
213,81607,1,","
214,77069,1,","
215,72380,1,","
216,68983,0,","
217,66868,0,","
218,65663,0,","
219,65332,0,","
220,66603,0,","
221,70199,0,","
222,76949,1,","
223,81576,1,","
224,83573,1,","
225,84529,1,","
226,85006,1,","
227,84841,1,","
228,85257,1,","
229,85256,1,","
230,84983,1,","
231,83846,1,","
232,83656,1,","
233,84124,1,","
234,85309,1,","
235,84837,1,","
236,85043,1,","
237,81939,1,","
238,77386,1,","
239,72589,1,","
240,69002,0,","
241,66977,0,","
242,65651,0,","
243,65250,0,","
244,66562,0,","
245,70456,0,","
246,76790,1,","
247,82028,1,","
248,83671,1,","
249,84051,1,","
250,84152,1,","
251,83619,1,","
252,83484,1,","
253,82881,1,","
254,82146,1,","
255,81228,1,","
256,81027,1,","
257,81584,1,","
258,82435,1,","
259,83837,1,","
260,85029,1,","
261,81431,1,","
262,77083,1,","
263,72686,1,","
264,68899,0,","
265,66494,0,","
266,65163,0,","
267,64790,0,","
268,65846,0,","
269,68972,0,","
270,74641,1,","
271,79722,1,","
272,82086,1,","
273,83383,1,","
274,83652,1,","
275,83580,1,","
276,82634,1,","
277,82371,1,","
278,81960,1,","
279,80877,1,","
280,80890,1,","
281,81595,1,","
282,81772,1,","
283,81120,1,","
284,82955,1,","
285,79974,1,","
286,75815,1,","
287,71894,1,","
288,67952,0,","
289,65518,0,","
290,63874,0,","
291,63402,0,","
292,63506,0,","
293,65311,0,","
294,68146,0,","
295,71082,0,","
296,73299,1,","
297,73720,1,","
298,73621,1,","
299,72572,1,","
300,71911,1,","
301,71149,0,","
302,70580,0,","
303,71121,0,","
304,71856,1,","
305,73524,1,","
306,73974,1,","
307,75011,1,","
308,76037,1,","
309,74416,1,","
310,71397,1,","
311,67834,0,","
312,64402,0,","
313,62528,0,","
314,61393,0,","
315,60802,0,","
316,60996,0,","
317,61455,0,","
318,63303,0,","
319,65676,0,","
320,69094,0,","
321,72218,1,","
322,74131,1,","
323,75264,1,","
324,75857,1,","
325,75614,1,","
326,75138,1,","
327,74965,1,","
328,75676,1,","
329,77867,1,","
330,79342,1,","
331,80302,1,","
332,81472,1,","
333,78623,1,","
334,75635,1,","
335,72224,1,","
336,70577,0,","
337,69021,0,","
338,69034,0,","
339,69451,0,","
340,71413,1,","
341,76187,1,","
342,83850,1,","
343,89610,1,","
344,90547,1,","
345,88983,1,","
346,87110,1,","
347,85000,1,","
348,83316,1,","
349,81944,1,","
350,80121,1,","
351,78703,1,","
352,78344,1,","
353,79389,1,","
354,82479,1,","
355,82426,1,","
356,85712,1,","
357,83067,1,","
358,79642,1,","
359,75525,1,","
360,73662,1,","
361,72225,1,","
362,71632,1,","
363,71865,1,","
364,74640,1,","
365,78641,1,","
366,85877,1,","
367,90195,1,","
368,89010,1,","
369,85931,1,","
370,83656,1,","
371,81576,1,","
372,80219,1,","
373,79268,1,","
374,78340,1,","
375,77564,1,","
376,77782,1,","
377,78727,1,","
378,80677,1,","
379,81830,1,","
380,83638,1,","
381,80701,1,","
382,76499,1,","
383,72253,1,","
384,68420,0,","
385,66398,0,","
386,65493,0,","
387,65137,0,","
388,66798,0,","
389,69742,0,","
390,76200,1,","
391,80629,1,","
392,82679,1,","
393,83242,1,","
394,83778,1,","
395,84049,1,","
396,84341,1,","
397,83868,1,","
398,83931,1,","
399,83074,1,","
400,83406,1,","
401,84238,1,","
402,84751,1,","
403,85885,1,","
404,85991,1,","
405,83823,1,","
406,79700,1,","
407,75001,1,","
408,72673,1,","
409,71120,0,","
410,70100,0,","
411,70494,0,","
