,dap,target,error,class
0,77423,76107.943,-1315.0570000000007,1
1,76402,75438.409,-963.5910000000003,1
2,76368,75438.569,-929.4309999999969,1
3,77364,76385.233,-978.7670000000071,1
4,79999,79226.289,-772.7109999999957,1
5,85843,84379.842,-1463.1579999999958,1
6,93093,92412.324,-680.6760000000068,1
7,98177,98765.195,588.195000000007,1
8,98763,100261.174,1498.173999999999,2
9,97250,99129.39,1879.3899999999994,2
10,98136,97526.104,-609.8959999999934,1
11,96198,95529.884,-668.1159999999945,1
12,94213,94316.483,103.4829999999929,1
13,92020,92945.268,925.2679999999964,2
14,90251,91425.291,1174.2909999999974,2
15,88991,90158.848,1167.8479999999981,2
16,89226,90665.921,1439.921000000002,2
17,90802,92599.649,1797.649000000005,2
18,95793,94831.144,-961.8559999999998,1
19,98180,97495.127,-684.8730000000069,1
20,97179,97600.456,421.4560000000056,1
21,93089,94531.907,1442.9070000000065,2
22,88200,89781.207,1581.2069999999949,2
23,83952,85107.625,1155.625,2
24,82187,81643.404,-543.596000000005,1
25,80043,79611.001,-431.99899999999616,1
26,79742,78789.702,-952.2979999999952,1
27,80167,78868.418,-1298.5819999999949,1
28,80814,80213.949,-600.0510000000068,1
29,84673,84377.145,-295.8549999999959,1
30,91326,90799.048,-526.9520000000048,1
31,96918,96232.485,-685.5149999999994,1
32,98794,97977.625,-816.375,1
33,98826,98001.264,-824.7360000000044,1
34,98303,97415.058,-887.9419999999955,1
35,97314,96590.452,-723.5479999999952,1
36,95101,95553.074,452.07399999999325,1
37,94985,94357.505,-627.4949999999953,1
38,93526,92641.419,-884.5810000000056,1
39,92241,91448.524,-792.4759999999951,1
40,91569,91011.259,-557.7409999999945,1
41,93199,91554.889,-1644.1110000000044,1
42,92740,91926.499,-813.5010000000038,1
43,95051,93296.98,-1754.020000000004,0
44,94257,93463.517,-793.4829999999929,1
45,91286,90344.442,-941.5580000000045,1
46,87360,85664.623,-1695.3769999999931,1
47,82390,81132.32,-1257.679999999993,1
