dap,target,error,class,class2
77423,76107.943,-1315.057,1,1
76402,75438.409,-963.591,1,1
76368,75438.569,-929.431,1,1
77364,76385.233,-978.767,1,1
79999,79226.289,-772.711,1,1
85843,84379.842,-1463.158,1,1
93093,92412.324,-680.676,1,1
98177,98765.195,588.195,1,1
98763,100261.174,1498.174,1,1
97250,99129.39,1879.39,1,1
98136,97526.104,-609.896,1,1
96198,95529.884,-668.116,1,1
94213,94316.483,103.483,1,1
92020,92945.268,925.268,1,1
90251,91425.291,1174.291,1,1
88991,90158.848,1167.848,1,1
89226,90665.921,1439.921,1,1
90802,92599.649,1797.649,1,1
95793,94831.144,-961.856,1,1
98180,97495.127,-684.873,1,1
97179,97600.456,421.456,1,1
93089,94531.907,1442.907,1,1
88200,89781.207,1581.207,1,1
83952,85107.625,1155.625,1,1
82187,81643.404,-543.596,1,1
80043,79611.001,-431.999,1,1
79742,78789.702,-952.298,1,1
80167,78868.418,-1298.582,1,1
80814,80213.949,-600.051,1,1
84673,84377.145,-295.855,1,1
91326,90799.048,-526.952,1,1
96918,96232.485,-685.515,1,1
98794,97977.625,-816.375,1,1
98826,98001.264,-824.736,1,1
98303,97415.058,-887.942,1,1
97314,96590.452,-723.548,1,1
95101,95553.074,452.074,1,1
94985,94357.505,-627.495,1,1
93526,92641.419,-884.581,1,1
92241,91448.524,-792.476,1,1
91569,91011.259,-557.741,1,1
93199,91554.889,-1644.111,1,1
92740,91926.499,-813.501,1,1
95051,93296.98,-1754.02,1,1
94257,93463.517,-793.483,1,1
91286,90344.442,-941.558,1,1
87360,85664.623,-1695.377,1,1
82390,81132.32,-1257.68,1,1
78285,77709.733,-575.267,1,1
76446,75933.578,-512.422,1,1
75907,75055.465,-851.535,1,1
75885,75033.221,-851.779,1,1
77660,76737.925,-922.075,1,1
81877,80833.683,-1043.317,1,1
88500,87657.193,-842.807,1,1
93271,93072.104,-198.896,1,1
95315,94890.597,-424.403,1,1
95243,94732.309,-510.691,1,1
94097,93651.821,-445.179,1,1
92721,92009.539,-711.461,1,1
90992,90471.232,-520.768,1,1
89203,88746.861,-456.139,1,1
87931,87482.428,-448.572,1,1
86621,86221.92,-399.08,1,1
86686,86099.835,-586.165,1,1
87807,86432.446,-1374.554,1,1
89605,87306.154,-2298.846,1,1
89641,89063.677,-577.323,1,1
89516,89196.813,-319.187,1,1
87094,86236.607,-857.393,1,1
82445,82006.153,-438.847,1,1
78109,77664.279,-444.721,1,1
74722,74207.7,-514.3,1,1
72617,72266.184,-350.816,1,1
71858,71322.331,-535.669,1,1
71745,71159.49,-585.51,1,1
73112,72541.681,-570.319,1,1
77176,76338.208,-837.792,1,1
83061,82990.876,-70.124,1,1
89038,88720.415,-317.585,1,1
91612,91120.787,-491.213,1,1
92195,92265.971,70.971,1,1
93533,93247.206,-285.794,1,1
93911,93445.173,-465.827,1,1
93525,93013.942,-511.058,1,1
92633,92236.773,-396.227,1,1
91359,90962.481,-396.519,1,1
90229,89767.706,-461.294,1,1
89835,89394.781,-440.219,1,1
90814,90074.979,-739.021,1,1
90744,90244.265,-499.735,1,1
92196,91349.905,-846.095,1,1
91246,91053.728,-192.272,1,1
89004,88448.929,-555.071,1,1
84125,84285.364,160.364,1,1
79944,79987.126,43.126,1,1
75654,76931.004,1277.004,1,1
75721,75362.828,-358.172,1,1
75512,74865.6,-646.4,1,1
75925,75156.605,-768.395,1,1
77809,77193.397,-615.603,1,1
82391,81828.251,-562.749,1,1
89567,89436.219,-130.781,1,1
96060,95298.51,-761.49,1,1
98175,97269.593,-905.407,1,1
97672,96726.154,-945.846,1,1
95748,94955.838,-792.162,1,1
94301,93212.498,-1088.502,1,1
91456,90868.705,-587.295,1,1
89521,88805.569,-715.431,1,1
87117,86238.185,-878.815,1,1
84814,84039.963,-774.037,1,1
83365,82842.744,-522.256,1,1
83628,83174.418,-453.582,1,1
87333,84865.91,-2467.09,1,1
88619,88234.144,-384.856,1,1
91531,90778.888,-752.112,1,1
89592,89958.169,366.169,1,1
88195,87341.194,-853.806,1,1
84968,84195.562,-772.438,1,1
82334,81631.571,-702.429,1,1
80913,80273.805,-639.195,1,1
80507,79937.674,-569.326,1,1
80816,80234.961,-581.039,1,1
81664,81358.746,-305.254,1,1
84352,83601.565,-750.435,1,1
87791,87210.948,-580.052,1,1
91082,90531.694,-550.306,1,1
92159,90832.471,-1326.529,1,1
87967,88132.004,165.004,1,1
85513,84694.738,-818.262,1,1
82294,81331.818,-962.182,1,1
78946,78277.099,-668.901,1,1
76127,75420.95,-706.05,1,1
73985,73075.553,-909.447,1,1
72428,71787.555,-640.445,1,1
72588,71758.045,-829.955,1,1
73616,73110.022,-505.978,1,1
75412,74820.634,-591.366,1,1
78681,78071.239,-609.761,1,1
82671,80880.74,-1790.26,1,1
81269,80348.55,-920.45,1,1
79463,78653.64,-809.36,1,1
77261,76316.677,-944.323,1,1
75383,74621.523,-761.477,1,1
74376,73812.132,-563.868,1,1
74359,73701.446,-657.554,1,1
74601,74101.705,-499.295,1,1
76081,75332.711,-748.289,1,1
77764,77200.843,-563.157,1,1
80811,80233.615,-577.385,1,1
82356,82757.164,401.164,1,1
84056,82817.244,-1238.756,1,1
81248,80155.75,-1092.25,1,1
77788,76624.747,-1163.253,1,1
75245,74458.903,-786.097,1,1
73692,72375.912,-1316.088,1,1
71322,70500.325,-821.675,0,0
69331,68735.036,-595.964,0,0
68914,68335.604,-578.396,0,0
69762,69224.92,-537.08,0,0
71831,71196.742,-634.258,1,1
73950,73262.481,-687.519,1,1
76916,76621.292,-294.708,1,1
80503,79523.825,-979.175,1,1
78618,77852.034,-765.966,1,1
75840,74956.21,-883.79,1,1
72852,72053.91,-798.09,1,1
70537,70077.391,-459.609,0,0
70133,69431.18,-701.82,0,0
70280,69676.544,-603.456,0,0
71185,70740.093,-444.907,0,0
73809,73456.303,-352.697,1,1
79356,78736.322,-619.678,1,1
87488,86642.511,-845.489,1,1
93133,92067.149,-1065.851,1,1
92465,91634.981,-830.019,1,1
89397,88164.091,-1232.909,1,1
86088,84858.482,-1229.518,1,1
83388,82648.404,-739.596,1,1
81609,80983.309,-625.691,1,1
80179,79676.612,-502.388,1,1
78913,78437.027,-475.973,1,1
77733,77506.557,-226.443,1,1
78130,77532.975,-597.025,1,1
79147,78576.78,-570.22,1,1
80153,79601.609,-551.391,1,1
82488,82046.513,-441.487,1,1
84355,83521.805,-833.195,1,1
82103,81034.745,-1068.255,1,1
77551,76801.522,-749.478,1,1
73537,72767.524,-769.476,1,1
70547,69936.019,-610.981,0,0
69341,68598.765,-742.235,0,0
68795,68165.586,-629.414,0,0
69247,68730.564,-516.436,0,0
71113,70715.337,-397.663,0,0
75566,75131.575,-434.425,1,1
82784,82236.266,-547.734,1,1
87784,87276.769,-507.231,1,1
88413,87787.872,-625.128,1,1
87252,86390.857,-861.143,1,1
85009,84265.156,-743.844,1,1
83155,82582.769,-572.231,1,1
81745,81172.946,-572.054,1,1
80777,80367.593,-409.407,1,1
79939,79420.021,-518.979,1,1
79394,78777.248,-616.752,1,1
79652,79181.645,-470.355,1,1
80880,80146.962,-733.038,1,1
81545,80983.754,-561.246,1,1
83466,82981.881,-484.119,1,1
84527,83651.483,-875.517,1,1
81607,80831.032,-775.968,1,1
77069,76265.043,-803.957,1,1
72380,71719.404,-660.596,1,1
68983,68333.005,-649.995,0,0
66868,66405.258,-462.742,0,0
65663,65231.076,-431.924,0,0
65332,64895.122,-436.878,0,0
66603,66094.787,-508.213,0,0
70199,69503.51,-695.49,0,0
76949,75875.23,-1073.77,1,1
81576,80956.269,-619.731,1,1
83573,83188.274,-384.726,1,1
84529,84006.508,-522.492,1,1
85006,84422.163,-583.837,1,1
84841,84758.277,-82.723,1,1
85257,84669.18,-587.82,1,1
85256,84610.177,-645.823,1,1
84983,83917.243,-1065.757,1,1
83846,83092.242,-753.758,1,1
83656,83109.826,-546.174,1,1
84124,83362.041,-761.959,1,1
85309,83082.635,-2226.365,1,1
84837,83642.005,-1194.995,1,1
85043,84055.397,-987.603,1,1
81939,80999.587,-939.413,1,1
77386,76323.07,-1062.93,1,1
72589,71653.749,-935.251,1,1
69002,68247.541,-754.459,0,0
66977,66089.32,-887.68,0,0
65651,65000.866,-650.134,0,0
65250,64604.108,-645.892,0,0
66562,65980.316,-581.684,0,0
70456,69652.728,-803.272,0,0
76790,76003.045,-786.955,1,1
82028,80873.406,-1154.594,1,1
83671,82589.929,-1081.071,1,1
84051,83115.823,-935.177,1,1
84152,83098.083,-1053.917,1,1
83619,82880.126,-738.874,1,1
83484,82597.47,-886.53,1,1
82881,82017.176,-863.824,1,1
82146,81308.607,-837.393,1,1
81228,80494.163,-733.837,1,1
81027,80239.73,-787.27,1,1
81584,80862.2,-721.8,1,1
82435,81467.068,-967.932,1,1
83837,82993.182,-843.818,1,1
85029,83418.062,-1610.938,1,1
81431,80813.763,-617.237,1,1
77083,76319.546,-763.454,1,1
72686,71898.299,-787.701,1,1
68899,68179.443,-719.557,0,0
66494,66035.984,-458.016,0,0
65163,64661.186,-501.814,0,0
