,dap,target,class,
0,25.396028,18.22055,1,","
1,29.146035,18.150497,1,","
2,30.303158,17.650599,1,","
3,31.039465,17.129129,1,","
4,34.175313,16.9967,1,","
5,47.338929,17.569721,1,","
6,69.517157,30.723276,1,","
7,78.585374,42.987914,1,","
8,44.161676,26.692221,1,","
9,33.884602,24.06303,1,","
10,33.051763,23.554694,1,","
11,28.039902,23.735153,1,","
12,26.442201,23.200454,1,","
13,25.133033,22.522769,1,","
14,24.206087,21.228278,1,","
15,23.50383,22.1948,1,","
16,24.40195,42.95782,1,","
17,27.690281,27.583413,1,","
18,34.894671,31.69909,1,","
19,49.604676,30.290526,1,","
20,45.830417,31.836412,1,","
21,38.515614,30.265174,1,","
22,33.206899,26.041388,1,","
23,27.847963,24.423812,1,","
24,26.810944,24.192243,1,","
25,24.720858,26.145299,1,","
26,25.747283,22.784562,1,","
27,26.77807,25.337027,1,","
28,29.446925,22.815791,1,","
29,35.001066,19.779309,1,","
30,54.525098,24.902511,1,","
31,58.065887,30.805917,1,","
32,49.422952,43.333562,1,","
33,42.061591,44.757799,1,","
34,38.424156,28.523212,1,","
35,35.10134,49.769661,1,","
36,31.826606,25.50685,1,","
37,30.076477,29.089903,1,","
38,29.241246,25.558977,1,","
39,27.795238,24.027561,1,","
40,28.598321,24.655249,1,","
41,31.379254,24.665333,1,","
42,36.320331,23.794169,1,","
43,47.490964,29.555749,1,","
44,41.333421,25.301807,1,","
45,34.99779,23.198419,1,","
46,28.759214,24.436558,1,","
47,23.398448,20.460381,1,","
48,21.023575,17.995929,1,","
49,20.734387,18.53924,1,","
50,19.854295,18.049904,1,","
51,19.975892,17.839098,1,","
52,21.341424,19.997267,1,","
53,25.479204,20.731836,1,","
54,35.726937,23.127202,1,","
55,40.757628,23.761686,1,","
56,33.974028,42.246949,1,","
57,32.309309,26.875024,1,","
58,28.634558,343.699154,2,","
59,26.963131,26.62766,1,","
60,24.518348,67.464693,2,","
61,23.435607,21.063121,1,","
62,22.517945,21.955055,1,","
63,21.924216,23.24869,1,","
64,21.973045,22.279802,1,","
65,22.163444,19.102205,1,","
66,24.215191,21.059624,1,","
67,29.138988,21.946469,1,","
68,28.860642,23.964565,1,","
69,23.324356,19.929691,1,","
70,19.440342,17.871494,1,","
71,17.489507,16.60687,1,","
72,17.560828,16.612268,1,","
73,17.053983,16.600573,1,","
74,16.422553,16.429819,1,","
75,16.288452,15.723498,1,","
76,16.956925,15.826391,1,","
77,18.517334,16.777201,1,","
78,25.758949,20.147086,1,","
79,28.262557,21.721538,1,","
80,27.569066,22.5412,1,","
81,28.182392,28.135985,1,","
82,28.345874,39.142229,1,","
83,27.502709,25.782378,1,","
84,25.354212,27.015739,1,","
85,24.682105,28.673647,1,","
86,22.805171,23.10829,1,","
87,22.45376,22.105723,1,","
