dap,target,,
77423,76107.943,,
76402,75438.409,,
76368,75438.569,,
77364,76385.233,,
79999,79226.289,,
85843,84379.842,,
93093,92412.324,,
98177,98765.195,,
98763,100261.174,,
97250,99129.39,,
98136,97526.104,,
96198,95529.884,,
94213,94316.483,,
92020,92945.268,,
90251,91425.291,,
88991,90158.848,,
89226,90665.921,,
90802,92599.649,,
95793,94831.144,,
98180,97495.127,,
97179,97600.456,,
93089,94531.907,,
88200,89781.207,,
83952,85107.625,,
82187,81643.404,,
80043,79611.001,,
79742,78789.702,,
80167,78868.418,,
80814,80213.949,,
84673,84377.145,,
91326,90799.048,,
96918,96232.485,,
98794,97977.625,,
98826,98001.264,,
98303,97415.058,,
97314,96590.452,,
95101,95553.074,,
94985,94357.505,,
93526,92641.419,,
92241,91448.524,,
91569,91011.259,,
93199,91554.889,,
92740,91926.499,,
95051,93296.98,,
94257,93463.517,,
91286,90344.442,,
87360,85664.623,,
82390,81132.32,,
78285,77709.733,,
76446,75933.578,,
75907,75055.465,,
75885,75033.221,,
77660,76737.925,,
81877,80833.683,,
88500,87657.193,,
93271,93072.104,,
95315,94890.597,,
95243,94732.309,,
94097,93651.821,,
92721,92009.539,,
90992,90471.232,,
89203,88746.861,,
87931,87482.428,,
86621,86221.92,,
86686,86099.835,,
87807,86432.446,,
89605,87306.154,,
89641,89063.677,,
89516,89196.813,,
87094,86236.607,,
82445,82006.153,,
78109,77664.279,,
74722,74207.7,,
72617,72266.184,,
71858,71322.331,,
71745,71159.49,,
73112,72541.681,,
77176,76338.208,,
83061,82990.876,,
89038,88720.415,,
91612,91120.787,,
92195,92265.971,,
93533,93247.206,,
93911,93445.173,,
93525,93013.942,,
92633,92236.773,,
91359,90962.481,,
90229,89767.706,,
89835,89394.781,,
90814,90074.979,,
90744,90244.265,,
92196,91349.905,,
91246,91053.728,,
89004,88448.929,,
84125,84285.364,,
79944,79987.126,,
75654,76931.004,,
75721,75362.828,,
75512,74865.6,,
75925,75156.605,,
77809,77193.397,,
82391,81828.251,,
89567,89436.219,,
96060,95298.51,,
98175,97269.593,,
97672,96726.154,,
95748,94955.838,,
94301,93212.498,,
91456,90868.705,,
89521,88805.569,,
87117,86238.185,,
84814,84039.963,,
83365,82842.744,,
83628,83174.418,,
87333,84865.91,,
88619,88234.144,,
91531,90778.888,,
89592,89958.169,,
88195,87341.194,,
84968,84195.562,,
82334,81631.571,,
80913,80273.805,,
80507,79937.674,,
80816,80234.961,,
81664,81358.746,,
84352,83601.565,,
87791,87210.948,,
91082,90531.694,,
92159,90832.471,,
87967,88132.004,,
85513,84694.738,,
82294,81331.818,,
78946,78277.099,,
76127,75420.95,,
73985,73075.553,,
72428,71787.555,,
72588,71758.045,,
73616,73110.022,,
75412,74820.634,,
78681,78071.239,,
82671,80880.74,,
81269,80348.55,,
79463,78653.64,,
77261,76316.677,,
75383,74621.523,,
74376,73812.132,,
74359,73701.446,,
74601,74101.705,,
76081,75332.711,,
77764,77200.843,,
80811,80233.615,,
82356,82757.164,,
84056,82817.244,,
81248,80155.75,,
77788,76624.747,,
75245,74458.903,,
73692,72375.912,,
71322,70500.325,,
69331,68735.036,,
68914,68335.604,,
69762,69224.92,,
71831,71196.742,,
73950,73262.481,,
76916,76621.292,,
80503,79523.825,,
78618,77852.034,,
75840,74956.21,,
72852,72053.91,,
70537,70077.391,,
70133,69431.18,,
70280,69676.544,,
71185,70740.093,,
73809,73456.303,,
79356,78736.322,,
87488,86642.511,,
93133,92067.149,,
92465,91634.981,,
89397,88164.091,,
86088,84858.482,,
83388,82648.404,,
81609,80983.309,,
80179,79676.612,,
78913,78437.027,,
77733,77506.557,,
78130,77532.975,,
79147,78576.78,,
80153,79601.609,,
82488,82046.513,,
84355,83521.805,,
82103,81034.745,,
77551,76801.522,,
73537,72767.524,,
70547,69936.019,,
69341,68598.765,,
68795,68165.586,,
69247,68730.564,,
71113,70715.337,,
75566,75131.575,,
82784,82236.266,,
87784,87276.769,,
88413,87787.872,,
87252,86390.857,,
85009,84265.156,,
83155,82582.769,,
81745,81172.946,,
80777,80367.593,,
79939,79420.021,,
79394,78777.248,,
79652,79181.645,,
80880,80146.962,,
81545,80983.754,,
83466,82981.881,,
84527,83651.483,,
81607,80831.032,,
77069,76265.043,,
72380,71719.404,,
68983,68333.005,,
66868,66405.258,,
65663,65231.076,,
65332,64895.122,,
66603,66094.787,,
70199,69503.51,,
76949,75875.23,,
81576,80956.269,,
83573,83188.274,,
84529,84006.508,,
85006,84422.163,,
84841,84758.277,,
85257,84669.18,,
85256,84610.177,,
84983,83917.243,,
83846,83092.242,,
83656,83109.826,,
84124,83362.041,,
