"Date","Value","Publish Date"
"2021-05-04 00:00:00","10287.6","2021-05-04 00:05:05"
"2021-05-04 00:05:00","10233.3","2021-05-04 00:10:05"
"2021-05-04 00:10:00","10173.6","2021-05-04 00:15:03"
"2021-05-04 00:15:00","10209.8","2021-05-04 00:20:03"
"2021-05-04 00:20:00","10184.6","2021-05-04 00:25:05"
"2021-05-04 00:25:00","10208.9","2021-05-04 00:30:04"
"2021-05-04 00:30:00","10171.9","2021-05-04 00:35:03"
"2021-05-04 00:35:00","10069.8","2021-05-04 00:40:02"
"2021-05-04 00:40:00","9969.2","2021-05-04 00:45:02"
"2021-05-04 00:45:00","9842.7","2021-05-04 00:50:04"
"2021-05-04 00:50:00","9991.2","2021-05-04 00:55:05"
"2021-05-04 00:55:00","9879.4","2021-05-04 01:00:02"
"2021-05-04 01:00:00","9930.9","2021-05-04 01:05:04"
"2021-05-04 01:05:00","9881","2021-05-04 01:10:06"
"2021-05-04 01:10:00","9884.3","2021-05-04 01:15:02"
"2021-05-04 01:15:00","9708.8","2021-05-04 01:20:02"
"2021-05-04 01:20:00","9694.1","2021-05-04 01:25:07"
"2021-05-04 01:25:00","9541.8","2021-05-04 01:30:03"
"2021-05-04 01:30:00","9639.2","2021-05-04 01:35:05"
"2021-05-04 01:35:00","9699.5","2021-05-04 01:40:03"
"2021-05-04 01:40:00","9694.9","2021-05-04 01:45:02"
"2021-05-04 01:45:00","9561.9","2021-05-04 01:50:03"
"2021-05-04 01:50:00","9603.8","2021-05-04 01:55:01"
"2021-05-04 01:55:00","9603.8","2021-05-04 02:00:01"
"2021-05-04 02:00:00","9340.7","2021-05-04 02:05:02"
"2021-05-04 02:05:00","9332.1","2021-05-04 02:10:04"
"2021-05-04 02:10:00","9298.1","2021-05-04 02:15:04"
"2021-05-04 02:15:00","9283.5","2021-05-04 02:20:06"
"2021-05-04 02:20:00","9254.4","2021-05-04 02:25:02"
"2021-05-04 02:25:00","9326","2021-05-04 02:30:04"
"2021-05-04 02:30:00","9216.4","2021-05-04 02:35:03"
"2021-05-04 02:35:00","9207.1","2021-05-04 02:40:04"
"2021-05-04 02:40:00","9169.1","2021-05-04 02:45:07"
"2021-05-04 02:45:00","9220.5","2021-05-04 02:50:05"
