"Date","Value","Publish Date"
"2021-05-04 00:00:00","10126","2021-05-04 00:00:00"
"2021-05-04 00:05:00","10184","2021-05-04 00:05:00"
"2021-05-04 00:10:00","10129","2021-05-04 00:10:00"
"2021-05-04 00:15:00","10169","2021-05-04 00:15:00"
"2021-05-04 00:20:00","10145","2021-05-04 00:20:00"
"2021-05-04 00:25:00","10102","2021-05-04 00:25:00"
"2021-05-04 00:30:00","10037","2021-05-04 00:30:00"
"2021-05-04 00:35:00","9888","2021-05-04 00:35:00"
"2021-05-04 00:40:00","9948","2021-05-04 00:40:00"
"2021-05-04 00:45:00","9921","2021-05-04 00:45:00"
"2021-05-04 00:50:00","9943","2021-05-04 00:50:00"
"2021-05-04 00:55:00","9913","2021-05-04 00:55:00"
"2021-05-04 01:00:00","9883","2021-05-04 01:00:00"
"2021-05-04 01:05:00","9789","2021-05-04 01:05:00"
"2021-05-04 01:10:00","9711","2021-05-04 01:10:00"
"2021-05-04 01:15:00","9585","2021-05-04 01:15:00"
"2021-05-04 01:20:00","9641","2021-05-04 01:20:00"
"2021-05-04 01:25:00","9706","2021-05-04 01:25:00"
"2021-05-04 01:30:00","9707","2021-05-04 01:30:00"
"2021-05-04 01:35:00","9655","2021-05-04 01:35:00"
"2021-05-04 01:40:00","9599","2021-05-04 01:40:00"
"2021-05-04 01:45:00","9539","2021-05-04 01:45:00"
"2021-05-04 01:50:00","9372","2021-05-04 01:50:00"
"2021-05-04 01:55:00","9352","2021-05-04 01:55:00"
"2021-05-04 02:00:00","9324","2021-05-04 02:00:00"
"2021-05-04 02:05:00","9329","2021-05-04 02:05:00"
"2021-05-04 02:10:00","9290","2021-05-04 02:10:00"
"2021-05-04 02:15:00","9313","2021-05-04 02:15:00"
"2021-05-04 02:20:00","9287","2021-05-04 02:20:00"
"2021-05-04 02:25:00","9237","2021-05-04 02:25:00"
"2021-05-04 02:30:00","9203","2021-05-04 02:30:00"
"2021-05-04 02:35:00","9223","2021-05-04 02:35:00"
"2021-05-04 02:40:00","9261","2021-05-04 02:40:00"
"2021-05-04 02:45:00","9256","2021-05-04 02:45:00"
"2021-05-04 02:50:00","9212","2021-05-04 02:50:00"
"2021-05-04 02:55:00","9154","2021-05-04 02:55:00"
"2021-05-04 03:00:00","9135","2021-05-04 03:00:00"
"2021-05-04 03:05:00","9241","2021-05-04 03:05:00"
"2021-05-04 03:10:00","9258","2021-05-04 03:10:00"
"2021-05-04 03:15:00","9239","2021-05-04 03:15:00"
"2021-05-04 03:20:00","9217","2021-05-04 03:20:00"
"2021-05-04 03:25:00","9085","2021-05-04 03:25:00"
"2021-05-04 03:30:00","9187","2021-05-04 03:30:00"
"2021-05-04 03:35:00","9215","2021-05-04 03:35:00"
"2021-05-04 03:40:00","9200","2021-05-04 03:40:00"
"2021-05-04 03:45:00","9199","2021-05-04 03:45:00"
"2021-05-04 03:50:00","9187","2021-05-04 03:50:00"
"2021-05-04 03:55:00","9135","2021-05-04 03:55:00"
"2021-05-04 04:00:00","9149","2021-05-04 03:55:00"
"2021-05-04 04:05:00","9228","2021-05-04 04:05:00"
"2021-05-04 04:10:00","9265","2021-05-04 04:10:00"
"2021-05-04 04:15:00","9274","2021-05-04 04:15:00"
"2021-05-04 04:20:00","9355","2021-05-04 04:20:00"
"2021-05-04 04:25:00","9345","2021-05-04 04:25:00"
"2021-05-04 04:30:00","9176","2021-05-04 04:30:00"
"2021-05-04 04:35:00","9278","2021-05-04 04:35:00"
"2021-05-04 04:40:00","9393","2021-05-04 04:40:00"
"2021-05-04 04:45:00","9438","2021-05-04 04:45:00"
"2021-05-04 04:50:00","9429","2021-05-04 04:50:00"
"2021-05-04 04:55:00","9425","2021-05-04 04:55:00"
"2021-05-04 05:00:00","9354","2021-05-04 05:00:00"
"2021-05-04 05:05:00","9425","2021-05-04 05:05:00"
"2021-05-04 05:10:00","9575","2021-05-04 05:10:00"
"2021-05-04 05:15:00","9602","2021-05-04 05:15:00"
"2021-05-04 05:20:00","9651","2021-05-04 05:20:00"
"2021-05-04 05:25:00","9714","2021-05-04 05:25:00"
"2021-05-04 05:30:00","9714","2021-05-04 05:30:00"
"2021-05-04 05:35:00","9762","2021-05-04 05:35:00"
"2021-05-04 05:40:00","9910","2021-05-04 05:40:00"
"2021-05-04 05:45:00","9910","2021-05-04 05:45:00"
"2021-05-04 05:50:00","9941","2021-05-04 05:50:00"
"2021-05-04 05:55:00","9975","2021-05-04 05:55:00"
"2021-05-04 06:00:00","9939","2021-05-04 06:00:00"
"2021-05-04 06:05:00","9958","2021-05-04 06:05:00"
"2021-05-04 06:10:00","10162","2021-05-04 06:10:00"
"2021-05-04 06:15:00","10210","2021-05-04 06:15:00"
"2021-05-04 06:20:00","10260","2021-05-04 06:20:00"
"2021-05-04 06:25:00","10284","2021-05-04 06:25:00"
"2021-05-04 06:30:00","10404","2021-05-04 06:30:00"
"2021-05-04 06:35:00","10398","2021-05-04 06:35:00"
"2021-05-04 06:40:00","10357","2021-05-04 06:40:00"
"2021-05-04 06:45:00","10531","2021-05-04 06:45:00"
"2021-05-04 06:50:00","10558","2021-05-04 06:50:00"
"2021-05-04 06:55:00","10527","2021-05-04 06:55:00"
"2021-05-04 07:00:00","10478","2021-05-04 07:00:00"
"2021-05-04 07:05:00","10575","2021-05-04 07:05:00"
"2021-05-04 07:10:00","10625","2021-05-04 07:10:00"
